"Phi [deg]","Theta [deg]","Freq [GHz]","dB(GainTotal) []"
0,0,4.9125,6.55508091459024
0,0,4.925,6.56617873289432
0,0,4.9375,6.57684624843134
0,0,4.95,6.58707573183274
0,0,4.9625,6.59685905474161
0,0,4.975,6.60618760592882
0,0,4.9875,6.61505243607243
0,0,5,6.62344417943607
0,0,5.0125,6.63135313608233
0,0,5.025,6.63876909280427
0,0,5.0375,6.64568157374031
0,0,5.05,6.65207974272842
0,0,5.0625,6.65795234187221
0,0,5.075,6.66328774401252
0,0,5.0875,6.66807392978423
0,0,5.1,6.67229852886176
0,0,5.1125,6.67594873464284
0,0,5.125,6.67901136156888
0,0,5.1375,6.6814727258783
0,0,5.15,6.6833186783054
0,0,5.1625,6.68453467441724
0,0,5.175,6.68510553655961
0,0,5.1875,6.68501555355043
0,0,5.2,6.68424844934511
0,0,5.2125,6.68278721061975
0,0,5.225,6.68061414529882
0,0,5.2375,6.67771079670984
0,0,5.25,6.67405783352374
0,0,5.2625,6.66963494675739
0,0,5.275,6.66442079731113
0,0,5.2875,6.65839294152573
0,0,5.3,6.6515276519066
0,0,5.3125,6.64379975258837
0,0,5.325,6.63518257995016
0,0,5.3375,6.62564777364074
0,0,5.35,6.61516500631364
0,0,5.3625,6.6037019736157
0,0,5.375,6.59122401836495
0,0,5.3875,6.57769383783619
0,0,5.4,6.56307142894943
0,0,5.4125,6.54731361287192
0,0,5.425,6.53037382583264
0,0,5.4375,6.51220177674168
0,0,5.45,6.49274297143906
0,0,5.4625,6.47193849599807
0,0,5.475,6.44972454888655
0,0,5.4875,6.4260319813981
0,0,5.5,6.40078600091344
0,0,5.5125,6.37390567679111
0,0,5.525,6.34530355607436
0,0,5.5375,6.31488533915201
0,0,5.55,6.28254955645309
0,0,5.5625,6.24818740504622
0,0,5.575,6.21168255681703
0,0,5.5875,6.1729113428897
0,0,5.6,6.13174288686046
0,0,5.6125,6.08803977033402
0,0,5.625,6.04165898216456
0,0,5.6375,5.99245308778497
0,0,5.65,5.94027230780043
0,0,5.6625,5.88496689781937
0,0,5.675,5.82639060073953
0,0,5.6875,5.76440462845262
0,0,5.7,5.6988829817192
0,0,5.7125,5.62971863897764
0,0,5.725,5.55683108526116
0,0,5.7375,5.48017461407621
0,0,5.75,5.39974818178597
0,0,5.7625,5.31560557255194
0,0,5.775,5.22786642124175
0,0,5.7875,5.13672679910256
0,0,5.8,5.0424689879512
0,0,5.8125,4.94546968954661
0,0,5.825,4.8462044172716
0,0,5.8375,4.74524843534627
0,0,5.85,4.64327161213715
0,0,5.8625,4.54102714296128
0,0,5.875,4.43933301244655
0,0,5.8875,4.33904675433523
0,0,5.9,4.24103457510814
0,0,5.9125,4.14613579211206
0,0,5.925,4.05512703081829
0,0,5.9375,3.96868754642206
0,0,5.95,3.88737075729991
0,0,5.9625,3.8115835902172
0,0,5.975,3.74157709979547
0,0,5.9875,3.6774482300893
0,0,6,3.6191528972508
0,0,6.0125,3.56652867819324
0,0,6.025,3.51932394072889
0,0,6.0375,3.47723082266474
0,0,6.05,3.43991822332625
0,0,6.0625,3.40706218098461
0,0,6.075,3.3783709661276
0,0,6.0875,3.35360261061139
0,0,6.1,3.33257515102915
0,0,6.1125,3.31516711975058
0,0,6.125,3.30131040141667
0,0,6.1375,3.2909751689776
0,0,6.15,3.28414849665318
0,0,6.1625,3.28080862102203
0,0,6.175,3.28089764039028
0,0,6.1875,3.28429405623388
0,0,6.2,3.29078957503591
0,0,6.2125,3.30007086715148
0,0,6.225,3.31170914772024
0,0,6.2375,3.32515835504558
0,0,6.25,3.33976082272355
0,0,6.2625,3.35476132218586
0,0,6.275,3.36932495041244
0,0,6.2875,3.38255910080645
0,0,6.3,3.39353499465734
0,0,6.3125,3.4013076169992
0,0,6.325,3.40493204924642
0,0,6.3375,3.40347501341211
0,0,6.35,3.39602134320605
0,0,6.3625,3.38167563617212
0,0,6.375,3.35955946303199
0,0,6.3875,3.32880543726944
0,0,6.4,3.28854997478565
0,0,6.4125,3.23792543712944
0,0,6.425,3.17605523825912
0,0,6.4375,3.10205320784218
0,0,6.45,3.01503200143111
0,0,6.4625,2.91412385840687
0,0,6.475,2.79851964536755
0,0,6.4875,2.66753120890673
0,0,6.5,2.52068329856323
0,0,6.5125,2.35783724483035
0,0,6.525,2.1793441768052
0,0,6.5375,1.98621405295764
0,0,6.55,1.78027276817703
0,0,6.5625,1.56426229653311
0,0,6.575,1.34182699914459
0,0,6.5875,1.11733476623898
0,0,6.6,0.89551096283503
0,0,6.6125,0.680922352363923
0,0,6.625,0.477408409258579
0,0,6.6375,0.287597406231069
0,0,6.65,0.112626192214999
0,0,6.6625,-0.0478849570358976
0,0,6.675,-0.195634575051954
0,0,6.6875,-0.333310227689723
0,0,6.7,-0.464225223782644
0,0,6.7125,-0.591993459580637
0,0,6.725,-0.720272257214827
0,0,6.7375,-0.852571949311415
0,0,6.75,-0.992118375013019
0,0,6.7625,-1.1417534731243
0,0,6.775,-1.30386400482999
0,0,6.7875,-1.48033368740415
0,0,6.8,-1.67251558458321
0,0,6.8125,-1.88122074600149
0,0,6.825,-2.1067169867439
0,0,6.8375,-2.34873214032322
0,0,6.85,-2.60645307271845
0,0,6.8625,-2.87851717326685
0,0,6.875,-3.1629903913479
0,0,6.8875,-3.45733327404732
0,0,6.9,-3.75835623568197
0,0,6.9125,-4.06217191719802
0,0,6.925,-4.36415774955241
0,0,6.9375,-4.65894545145725
0,0,6.95,-4.94046222089267
0,0,6.9625,-5.2020513440677
0,0,6.975,-5.43669642842975
0,0,6.9875,-5.637363346319
0,0,7,-5.7974518220319
0,0,7.0125,-5.91131532242975
0,0,7.025,-5.97477491977594
0,0,7.0375,-5.98553446143722
0,0,7.05,-5.94340965439495
0,0,7.0625,-5.85032538989231
0,0,7.075,-5.71008799495943
0,0,7.0875,-5.52799744670965
0,0,7.1,-5.31038851849557
0,0,7.1125,-5.06419010804215
0,0,7.125,-4.79656463309429
0,0,7.1375,-4.51464900629516
0,0,7.15,-4.22539339919647
0,0,7.1625,-3.93546210874328
0,0,7.175,-3.65116148647604
0,0,7.1875,-3.37835067218394
0,0,7.2,-3.12230737021616
0,0,7.2125,-2.88753286617554
0,0,7.225,-2.67750427298696
0,0,7.2375,-2.49440906257721
0,0,7.25,-2.33891226231471
0,0,7.2625,-2.21002282261294
0,0,7.275,-2.10510967836464
0,0,7.2875,-2.02009746692924
0,0,7.3,-1.94982713165152
0,0,7.3125,-1.88853520999746
0,0,7.325,-1.83037799163303
0,0,7.3375,-1.76992604011948
0,0,7.35,-1.70256533755674
0,0,7.3625,-1.62476666029854
0,0,7.375,-1.53421282647677
0,0,7.3875,-1.42979703884723
0,0,7.4,-1.31152487268113
0,0,7.4125,-1.18035802428232
0,0,7.425,-1.03804266785208
0,0,7.4375,-0.886949652586202
0,0,7.45,-0.729942942255803
0,0,7.4625,-0.570273239803912
0,0,7.475,-0.411480971342032
0,0,7.4875,-0.257289415342655
0,0,7.5,-0.111474838785541
0,0,7.5125,0.0222838068224392
0,0,7.525,0.140565173215685
0,0,7.5375,0.240354569202217
0,0,7.55,0.319169838917799
0,0,7.5625,0.37515262197815
0,0,7.575,0.407123401027774
0,0,7.5875,0.414603670862213
0,0,7.6,0.397807694253956
0,0,7.6125,0.35760901158056
0,0,7.625,0.295483490255623
0,0,7.6375,0.213427075370169
0,0,7.65,0.113840979841743
0,0,7.6625,-0.000633376948368072
0,0,7.675,-0.127353270514916
0,0,7.6875,-0.264010332215007
0,0,7.7,-0.40906218781671
0,0,7.7125,-0.562199515525108
0,0,7.725,-0.724716634350036
0,0,7.7375,-0.899603012611157
0,0,7.75,-1.09123117752826
0,0,7.7625,-1.30466737258634
0,0,7.775,-1.54479055187004
0,0,7.7875,-1.81544462816378
0,0,7.8,-2.11874541706536
0,0,7.8125,-2.45452644384641
0,0,7.825,-2.81983292688705
0,0,7.8375,-3.20840170359606
0,0,7.85,-3.61016559537443
0,0,7.8625,-4.010958096703
0,0,7.875,-4.39273175287252
0,0,7.8875,-4.73469234454788
0,0,7.9,-5.015641625471
0,0,7.9125,-5.21739488944289
0,0,7.925,-5.32843779574991
0,0,7.9375,-5.34645334640678
0,0,7.95,-5.27858636993133
0,0,7.9625,-5.13935842827736
0,0,7.975,-4.94725720788606
0,0,7.9875,-4.72137610801444
0,0,8,-4.47901725925095
0,0,8.0125,-4.23446710792187
0,0,8.025,-3.99869447549654
0,0,8.0375,-3.77959846901772
0,0,8.05,-3.58251509738842
0,0,8.0625,-3.41081719470107
0,0,8.075,-3.26653190736887
0,0,8.0875,-3.1509138765817
0,0,8.1,-3.06488548307764
0,0,8.1125,-3.00922198819206
0,0,8.125,-2.98439683835213
0,0,8.1375,-2.99010829412359
0,0,8.15,-3.02466033539615
0,0,8.1625,-3.08448339170401
0,0,8.175,-3.16411672618489
0,0,8.1875,-3.2568497554905
0,0,8.2,-3.35591292737802
0,0,8.2125,-3.45574899093358
0,0,8.225,-3.55277571774331
0,0,8.2375,-3.64534822728727
0,0,8.25,-3.73311240617216
0,0,8.2625,-3.81620489090573
0,0,8.275,-3.89467078815704
0,0,8.2875,-3.96821432393139
0,0,8.3,-4.03619381817747
0,0,8.3125,-4.09770962494006
0,0,8.325,-4.15166942641914
0,0,8.3375,-4.19678650852963
0,0,8.35,-4.23153773747655
0,0,8.3625,-4.2541536276029
0,0,8.375,-4.26272367397252
0,0,8.3875,-4.2554732759028
0,0,8.4,-4.23119952115026
0,0,8.4125,-4.18976764326078
0,0,8.425,-4.13250468482485
0,0,8.4375,-4.06232095986046
0,0,8.45,-3.98348310049707
0,0,8.4625,-3.90108813575487
0,0,8.475,-3.8204028335847
0,0,8.4875,-3.74625387965697
0,0,8.5,-3.68260416914241
0,0,8.5125,-3.63235689067255
0,0,8.525,-3.59735677368416
0,0,8.5375,-3.57852009595167
0,0,8.55,-3.57602376513945
0,0,8.5625,-3.58950209639334
0,0,8.575,-3.61822032304712
0,0,8.5875,-3.66121194985909
0,0,8.6,-3.71737929847917
0,0,8.6125,-3.78556089320469
0,0,8.625,-3.86457427495952
0,0,8.6375,-3.95323902607548
0,0,8.65,-4.05038949661782
0,0,8.6625,-4.15488192104704
0,0,8.675,-4.26560406416474
0,0,8.6875,-4.38149401109892
0,0,8.7,-4.50157828992292
0,0,8.7125,-4.62503872410876
0,0,8.725,-4.75131749069536
0,0,8.7375,-4.88026233025349
0,0,8.75,-5.01229833714349
0,0,8.7625,-5.14858871967236
0,0,8.775,-5.29111007815662
0,0,8.7875,-5.4425519895713
0,0,8.8,-5.60595751296499
0,0,8.8125,-5.78410274432041
0,0,8.825,-5.97874276977866
0,0,8.8375,-6.1899781733476
0,0,8.85,-6.41597572484929
0,0,8.8625,-6.65310295162369
0,0,8.875,-6.89630411374937
0,0,8.8875,-7.13945563300327
0,0,8.9,-7.37553484870767
0,0,8.9125,-7.59660239888369
0,0,8.925,-7.79374941364808
0,0,8.9375,-7.95723602355134
0,0,8.95,-8.07705179672104
0,0,8.9625,-8.14406246596976
0,0,8.975,-8.15171993158039
0,0,8.9875,-8.09802003449411
0,0,9,-7.98709421995325
